Geneid,BT549,CaOV3,EEC16,EFO27,ES2,FT246,FT33,GTFR230,HEY,IOSE11,IOSE4,JHOC5,MCAS,MCF10A,MCF7,OAW42,RMGII,UWB1_289,VOA1056,Kuramochi
ENSG00000187017.15,3,31,26,66,9,0,3,16,37,35,37,13,15,25,12,7,15,26,52,14
ENSG00000265392.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000231868.1,0,10,1,3,0,0,0,3,0,1,0,0,28,6,101,22,1,4,54,28
ENSG00000215788.9,0,23,0,1,0,0,0,0,0,0,2,0,11,0,60,2,0,14,14,23
ENSG00000171680.21,1,10,6,11,1,0,0,1,9,2,8,6,3,1,5,3,6,9,8,8
ENSG00000162408.10,0,2,1,0,1,2,0,0,0,0,1,2,0,1,1,2,0,0,0,0
ENSG00000253022.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000229519.2,1,4,1,4,1,1,1,4,0,3,1,2,0,0,0,1,1,0,1,5
ENSG00000173662.20,0,1,0,10,0,0,0,0,2,1,1,0,1,0,1,2,3,1,3,3
ENSG00000204859.12,0,3,6,5,6,1,0,3,23,6,3,0,4,1,0,0,22,16,6,7
ENSG00000162413.16,61,49,33,59,29,2,5,44,43,53,32,23,69,31,39,27,80,42,39,75
ENSG00000116273.5,2,1,1,2,0,0,0,0,1,1,2,0,1,1,0,0,4,0,3,0
ENSG00000041988.15,1381,1064,592,908,939,7,4,863,529,529,742,863,655,643,361,682,855,917,534,1877
ENSG00000007923.15,25,18,21,57,30,0,3,49,20,28,29,18,38,21,10,16,22,7,35,64
ENSG00000228750.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000237436.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171735.18,49,273,4,329,24,4,2,15,6,9,5,1,4,3,75,49,13,7,108,65
ENSG00000227950.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000237365.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
